Company Name,Founded Year,HQ,Industry,Total Funding,ARR,Valuation,Employees,Top Investors,Product,G2 Rating,Valuation_to_ARR,Investor Count,Has_Top_VC
Intuit,1983,"Mountain View, CA, USA",Financial Software,273.0,14400.0,180000.0,18200,"Sierra Ventures, Kleiner Perkins","QuickBooks, TurboTax",4.4,12.5,2,True
ServiceNow,2004,"Santa Clara, CA, USA",IT Service Management,82.5,8900.0,147000.0,20000,"JMI Equity, Sequoia Capital",IT Service Management Platform,4.4,16.51685393258427,2,True
Zoom,2011,"San Jose, CA, USA",Video Communications,145.5,4500.0,85000.0,7388,"Sequoia Capital, Emergence",Video Conferencing Platform,4.5,18.88888888888889,2,True
Atlassian,2002,"Sydney, Australia",Collaboration Software,60.0,3500.0,55000.0,11800,Accel Partners,"Jira, Confluence, Trello",4.3,15.714285714285714,1,True
Snowflake,2012,"Bozeman, MT, USA",Data Warehousing,1400.0,2800.0,75000.0,6500,"Sequoia, ICONIQ, Altimeter",Cloud Data Platform,4.4,26.785714285714285,3,True
DocuSign,2003,"San Francisco, CA, USA",Digital Agreements,514.3,2500.0,10000.0,7336,"Kleiner Perkins, Accel","eSignature, Contract Lifecycle",4.5,4.0,2,True
Slack,2009,"San Francisco, CA, USA",Team Communication,1400.0,1700.0,,2545,"Accel, Andreessen Horowitz",Team Messaging Platform,4.5,,2,True
Notion,2013,"San Francisco, CA, USA",Productivity,353.0,400.0,10000.0,800,"Index Ventures, Sequoia",All-in-one workspace,4.7,25.0,2,True
Datadog,2010,"New York, NY, USA",Monitoring & Analytics,147.9,2100.0,44000.0,5200,"ICONIQ, Index Ventures",Infrastructure Monitoring,4.4,20.952380952380953,2,True
MongoDB,2007,"New York, NY, USA",Database,311.2,1700.0,26000.0,4500,"Sequoia, NEA, USV",Document Database Platform,4.5,15.294117647058824,3,True
Okta,2009,"San Francisco, CA, USA",Identity Management,230.5,2200.0,25000.0,5900,"Andreessen Horowitz, Greylock",Identity & Access Management,4.4,11.363636363636363,2,True
Stripe,2010,"San Francisco, CA, USA",Payments,8700.0,14000.0,65000.0,8000,"Sequoia, Andreessen Horowitz",Payment Processing Platform,4.4,4.642857142857143,2,True
Square,2009,"San Francisco, CA, USA",Payments,590.5,19700.0,85000.0,8500,"Khosla Ventures, Sequoia",Payment & POS Solutions,4.2,4.314720812182741,2,True
Canva,2013,"Sydney, Australia",Design,572.6,2000.0,40000.0,3500,"Sequoia, Bessemer, Bond",Design Platform,4.7,20.0,3,True
Asana,2008,"San Francisco, CA, USA",Work Management,453.2,652.0,5500.0,1600,"Benchmark, Founders Fund",Work Management Platform,4.3,8.43558282208589,2,True
Airtable,2012,"San Francisco, CA, USA",Database/Spreadsheet,735.1,500.0,11000.0,900,"Benchmark, Thrive Capital",Low-code Database Platform,4.6,22.0,2,True
Figma,2012,"San Francisco, CA, USA",Design,332.9,600.0,,1300,"Index Ventures, Greylock",Collaborative Design Tool,4.7,,2,True
Zendesk,2007,"San Francisco, CA, USA",Customer Service,85.5,1900.0,13200.0,6000,"Benchmark, Matrix Partners",Customer Service Platform,4.3,6.947368421052632,2,True
Dropbox,2008,"San Francisco, CA, USA",Cloud Storage,1700.0,2500.0,8500.0,2700,"Sequoia, Accel, Index",Cloud Storage & Collaboration,4.4,3.4,3,True
Freshworks,2010,"San Mateo, CA, USA",Customer Engagement,484.7,596.0,5200.0,5000,"Accel, Sequoia Capital India",Customer Engagement Suite,4.4,8.724832214765101,2,True
Klaviyo,2012,"Boston, MA, USA",Marketing Automation,778.2,698.0,9500.0,1500,"Summit Partners, Accel",Email & SMS Marketing,4.6,13.61031518624642,2,True
